Year;Month;Day;PM25max;O3max;Death;Tmean;RH;OXmax
2000;7;15;NA;46.5;3;18.68239677;64.51171865;32.2209856915739
2000;7;16;NA;27.66666667;1;16.95280969;75.44387022;18.164546899841
2000;7;17;NA;27.5;1;16.59701956;79.6111847;18.9756226815051
2000;7;18;NA;37.25;2;17.24829246;72.57658555;26.5686274509804
2000;7;19;NA;19.75;8;12.48323502;79.17741108;13.6767355590885
2000;7;20;NA;27.25;2;12.78973921;52.27874903;19.4361420243773
2000;7;21;NA;43.75;2;15.6740919;60.37204713;29.7726550079491
2000;7;22;NA;31.75;1;15.30464142;73.17517192;21.9342872284049
2000;7;23;NA;29.33333333;1;16.47787954;62.88761767;20.154213036566
2000;7;24;NA;33.66666667;3;18.15670599;54.89363366;21.654213036566
2000;7;25;NA;46.75;6;19.06682707;53.16563398;32.8018018018018
2000;7;26;NA;41.5;2;20.20475008;60.18891114;27.9719130895601
2000;7;27;NA;33;2;17.72834523;64.66864482;22.0837307896132
2000;7;28;NA;43;4;20.37620304;70.03744333;28.042395336513
2000;7;29;NA;35;1;20.27367277;65.42501762;23.154213036566
2000;7;30;NA;27.5;1;18.78810928;64.91777419;18.4859565447801
2000;7;31;NA;33;2;19.99511021;60.25848895;23.1955484896661
2000;8;1;NA;33;4;18.83615337;73.37657317;21.4154742978272
2000;8;2;13;29.25;6;20.58824899;77.30025517;26.3449920508744
2000;8;3;52;45;1;20.79191245;76.54797118;28.4324324324324
2000;8;4;7;24.5;2;14.73556349;76.1797132;17.0461049284579
2000;8;5;10;27;3;17.05650419;62.01319087;17.2745098039216
2000;8;6;14;38.5;4;16.87185657;56.68764833;25.6936936936937
2000;8;7;12;32.5;4;16.90507606;89.09935362;21.6269210386857
2000;8;8;18;33.25;2;19.56504191;74.59691339;21.1748807631161
2000;8;9;9;26;2;16.5481217;86.96496079;17.4154742978272
2000;8;10;10;28.75;3;17.91570941;72.7633134;17.5855855855856
2000;8;11;18;25;1;17.0357032;61.39981395;19.0047694753577
2000;8;12;14;30;3;17.50954672;58.43780647;20.3741388447271
2000;8;13;18;29.25;2;17.53306427;54.27361218;25.2829888712242
2000;8;14;20;35;2;18.11324123;56.968195;28.8863275039746
2000;8;15;14;33.75;2;19.39824589;66.97880528;21.6438791732909
2000;8;16;25;36.25;3;17.3417417;81.62537914;23.353471118177
2000;8;17;5;14;3;13.22811239;78.73610252;7.9483306836248
2000;8;18;16;24.75;5;13.59414778;61.66352998;17.6062533121356
2000;8;19;15;29.25;4;14.30270102;62.45437051;19.7350291467938
2000;8;20;8;16.75;1;12.83871468;74.94603897;10.1081081081081
2000;8;21;14;28.75;1;14.50721826;59.88355269;19.0545839957604
2000;8;22;22;26;3;13.7207389;53.29661836;17.46528881823
2000;8;23;18;30.25;3;14.09298355;77.55125441;20.7265500794913
2000;8;24;16;23.5;1;16.29470661;74.41321695;15.5461049284579
2000;8;25;NA;31;3;16.91089724;61.6454737;21.1748807631161
2000;8;26;NA;40.66666667;5;18.95405154;65.32214382;26.741653418124
2000;8;27;NA;29.33333333;2;15.83638622;72.4869381;17.164546899841
2000;8;28;8;23.5;3;12.54098106;49.59186655;15.8656597774245
2000;8;29;30;37.25;3;14.62208941;47.4848073;26.8553259141494
2000;8;30;35;27.75;1;18.13186898;75.90297024;20.9088500264971
2000;8;31;43;33.25;5;16.64948774;59.90871336;25.776364599894
2000;9;1;26;22.75;3;17.00814964;72.46125621;15.3571807101219
2000;9;2;12;23;4;11.84585532;75.89599925;15.3863275039746
2000;9;3;12;25.25;3;11.12752251;58.2472344;18.1748807631161
2000;9;4;4;27.25;1;11.13497361;72.14051176;18.154213036566
2000;9;5;11;18;4;7.591586464;62.09599193;12.5564387917329
2000;9;6;10;23;2;8.172772431;49.44615229;17.1664016958135
2000;9;7;17;40;2;12.44753182;57.02643394;28.6697138314785
2000;9;8;22;43.4;3;14.94683328;67.05592344;30.5973767885533
2000;9;9;15;29.6;3;14.25946911;60.02771475;19.1697138314785
2000;9;10;17;32.4;4;13.70001552;50.2145921;23.2058823529412
2000;9;11;34;18.6;1;14.24417883;73.1360956;18.5361685214626
2000;9;12;37;29.8;3;18.19318535;81.35078055;23.5225225225225
2000;9;13;13;33;3;13.61215461;70.0260868;22.2881558028617
2000;9;14;16;18.2;4;12.97004036;79.72286625;15.216613672496
2000;9;15;9;25.8;7;11.96352065;88.90999206;17.577106518283
2000;9;16;1;11.2;4;8.982148401;91.74386643;6.9741653418124
2000;9;17;8;15.4;3;8.766454517;79.8900607;12.3247217806041
2000;9;18;9;20.4;3;9.905076063;66.93088081;14.087440381558
2000;9;19;42;56;3;15.64762496;54.99938633;38.8807631160572
2000;9;20;51;53.4;4;16.90003105;57.81980348;35.7261526232114
2000;9;21;26;35.4;3;13.96321018;75.7558421;28.9136195018548
2000;9;22;9;24;7;8.849192797;78.96159995;16.360492845787
2000;9;23;6;13.8;4;7.396615958;85.02048038;10.0291467938527
2000;9;24;5;22;4;9.151505744;71.73062664;15.1903815580286
2000;9;25;9;20;2;5.502483701;67.96681639;14.2523847376789
2000;9;26;18;24.4;5;5.436355169;54.9602071;17.7265500794913
2000;9;27;17;20.2;1;5.129540515;64.6320777;14.0564387917329
2000;9;28;7;25;6;2.559065508;73.34453712;17.0306041335453
2000;9;29;13;26;2;2.480440857;53.53309198;19.7213831478537
2000;9;30;14;32.2;3;9.292067681;54.36954791;22.654213036566
2000;10;1;40;44;0;12.51102142;60.89752183;32.2829888712242
2000;10;2;40;51.6;1;12.50302701;52.71110856;36.7003179650238
2000;10;3;40;27.2;4;11.73796957;66.33414629;18.7110492845787
2000;10;4;16;20.6;1;7.769559143;62.23305771;16.8350556438792
2000;10;5;13;22.8;2;4.478655697;64.62504517;16.2110492845787
2000;10;6;11;18.2;3;3.612309842;89.7866273;15.4483306836248
2000;10;7;3;19.4;3;3.160198696;89.12785668;14.1081081081081
2000;10;8;7;20;5;3.512263272;78.13788828;14.1132750397456
2000;10;9;6;21.4;4;1.153756597;74.557661;15.3863275039746
2000;10;10;5;21;6;0.856178206;88.31150531;14.2660307366189
2000;10;11;14;23.2;4;4.514669357;73.19044233;15.5564387917329
2000;10;12;18;32.4;4;7.241695126;52.53714207;25.2523847376789
2000;10;13;16;43.8;3;9.79191245;62.31244192;31.9427662957075
2000;10;14;22;24.4;3;8.836541447;73.01758492;19.3195548489666
2000;10;15;8;32.4;4;3.012961813;72.16923635;21.447933227345
2000;10;16;12;30.2;4;0.991772741;58.65165333;21.3553259141494
2000;10;17;15;22.4;1;3.123564111;54.90964321;18.4328298887122
2000;10;18;10;14.2;3;4.411362931;81.54592498;11.4844992050874
2000;10;19;9;30;5;6.83398013;78.50595524;20.6438791732909
2000;10;20;19;25.6;4;6.834601056;53.74593472;19.0926073131955
2000;10;21;22;31;4;9.308832661;66.08906144;21.3243243243243
2000;10;22;5;29;4;2.440468799;72.32537149;20.3191573926868
2000;10;23;21;26.6;4;1.956923316;53.11214043;19.881160572337
2000;10;24;26;13.4;2;6.601133188;64.25873003;14.8867249602544
2000;10;25;24;26.8;6;7.452887302;54.50339753;19.4018282988871
2000;10;26;45;23.8;4;9.82435579;60.23041599;20.6856120826709
2000;10;27;39;30.4;4;10.38683639;57.13182851;23.3040540540541
2000;10;28;1;32.6;6;-0.032365725;84.09777623;21.7881558028617
2000;10;29;10;34.2;2;-1.453973921;82.27298392;22.6283783783784
2000;10;30;9;33.4;1;1.660198696;81.13269745;22.1852146263911
2000;10;31;11;29.4;2;1.563101521;74.93574971;20.3398251192369
2000;11;1;19;22.8;6;2.029105868;62.48860593;16.9534976152623
2000;11;2;46;20.2;2;4.568224154;51.51585865;20.216613672496
2000;11;3;37;20.4;1;4.570397392;58.63072484;21.6705087440382
2000;11;4;10;17.4;3;3.861999379;74.59703926;13.9638314785374
2000;11;5;7;18.4;5;3.357187209;90.1556693;11.9741653418124
2000;11;6;18;14.6;0;3.545327538;83.72257759;11.5155007949126
2000;11;7;14;18.4;3;5.884895995;81.71123575;13.6391096979332
2000;11;8;3;22.4;3;5.743014592;88.73853282;16.2317170111288
2000;11;9;6;21.8;6;5.352607886;87.95576993;15.7730524642289
2000;11;10;16;23.8;6;4.697066129;92.37048908;16.7007154213037
2000;11;11;5;15.2;5;4.885206458;88.0114875;11.2782193958665
2000;11;12;7;18.6;4;2.904455138;75.75024439;12.5616057233704
2000;11;13;11;18.2;3;2.453508227;85.94928524;13.2988871224165
2000;11;14;6;7.8;3;4.325287178;87.02785831;7.36089030206677
2000;11;15;11;21;0;2.084601056;89.61471494;14.2420508744038
2000;11;16;17;28.4;4;0.539351133;89.27182908;21.2951775304717
2000;11;17;22;22.2;3;0.096243403;78.36035996;14.7472178060413
2000;11;18;17;27.4;4;-3.714063955;81.32353067;18.8294912559618
