Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;6;13;13.33333333;33.2;34.33333333;33;14.74;20.993696419566312;62.25476495;26.1130221130221
2000;6;14;11.33333333;31.4;13.5;33;15.67;18.55685829551185;81.29901318;23.635062870357
2000;6;15;19.66666667;34.66666667;30.5;37;19.74;25.71886031265759;64.49626917;21.2123139181963
2000;6;16;27.66666667;48.13333333;29.41666667;34;23.28;28.71646495209279;68.34272481;25.9771643301055
2000;6;17;23.66666667;39.4;15.25;42;20.86;24.313414019162884;79.10600495;34.7061714120538
2000;6;18;9;21;26.08333333;27;13.1;16.383509833585478;79.66920017;26.2543720190779
2000;6;19;10.33333333;36.6;26;27;15.14;22.86396873424105;54.17226455;14.5312906489377
2000;6;20;12;39.66666667;40.5;28;19.5;26.67057488653555;57.86329753;26.9031651972828
2000;6;21;27;39;33.08333333;36;19.43;22.308623298033282;81.84415366;28.1305246422894
2000;6;22;13.25;51.53333333;21.66666667;39;22.45;27.171835602622288;72.30860112;29.0987678855326
2000;6;23;10;32.26666667;25.83333333;27;18.81;23.152798789712556;73.31520788;37.1471471471471
2000;6;24;14.5;51.2;27;33;18.33;26.021053958648512;55.54798667;22.3790143084261
2000;6;25;34.75;46;29.36363636;34;21.78;25.105395864851236;80.00945405;34.7446740858506
2000;6;26;21.25;49.53333333;25.72727273;34;24.04;30.26626323751891;64.36534776;33.4798092209857
2000;6;27;23.5;39.2;26.63636364;44;22.33;25.97970247100353;78.20607078;34.3807631160572
2000;6;28;11.5;35.4;22;33;18.31;23.85552193645991;66.55501191;27.3263910969793
2000;6;29;14.25;40.4;24.75;33;19.64;24.564044377206255;70.42221306;25.9815182829889
2000;6;30;14.75;37;26.91666667;36;18.92;23.333081190115987;73.19087849;29.1654863419569
2000;7;1;12.75;46.33333333;23.58333333;31;19.58;26.06492687846697;61.73356976;25.7748807631161
2000;7;2;28.25;67.13333333;16.08333333;26;21.38;27.132879475542108;65.89894992;31.6657031362914
